entity,entity_cluster,entity_tag,n_mentions,n_reviews,mean_sentiment,median_sentiment
BHC,cluster_43,LOC,2,1,5.0,5.0
명성왕족발,cluster_13,LOC,2,1,5.0,5.0
고추바사삭,cluster_1,entity_unknown,1,1,5.0,5.0
광고,cluster_1,entity_unknown,1,1,5.0,5.0
구글맵,cluster_31,entity_unknown,1,1,5.0,5.0
굽네치킨,cluster_1,entity_unknown,1,1,5.0,5.0
깐풍치킨중,cluster_1,entity_unknown,1,1,5.0,5.0
민생지원금,cluster_27,entity_unknown,1,1,5.0,5.0
서현,cluster_1,LOC,1,1,5.0,5.0
소스 느낌,cluster_18,entity_unknown,1,1,5.0,5.0
자담치킨,cluster_1,entity_unknown,1,1,5.0,5.0
족발,cluster_1,entity_unknown,1,1,5.0,5.0
좋아하,cluster_1,entity_unknown,1,1,5.0,5.0
좋아하 고추바사삭,cluster_1,entity_unknown,1,1,5.0,5.0
지시대로,cluster_1,entity_unknown,1,1,5.0,5.0
치킨집,cluster_15,entity_unknown,1,1,5.0,5.0
카카오맵,cluster_1,entity_unknown,1,1,5.0,5.0
켰더니,cluster_19,entity_unknown,1,1,5.0,5.0
켰더니 광고,cluster_1,entity_unknown,1,1,5.0,5.0
포장해,cluster_1,entity_unknown,1,1,5.0,5.0
포장해 먹었다,cluster_1,entity_unknown,1,1,5.0,5.0
푸라닭 유명 쉐프와,cluster_15,entity_unknown,1,1,5.0,5.0
한국,cluster_2,LOC,1,1,5.0,5.0
한동안,cluster_0,entity_unknown,1,1,5.0,5.0
한동안 집앞 자담치킨,cluster_17,entity_unknown,1,1,5.0,5.0
할머니,cluster_25,entity_unknown,1,1,5.0,5.0
할머니 족발,cluster_25,entity_unknown,1,1,5.0,5.0
현대시장 명성왕족발,cluster_38,entity_unknown,1,1,5.0,5.0
성남,cluster_2,LOC,3,3,4.666666666666667,5.0
비비큐,cluster_1,ORG,2,1,4.0,4.0
가는데,cluster_1,entity_unknown,1,1,4.0,4.0
가는데 기사,cluster_1,entity_unknown,1,1,4.0,4.0
간장,cluster_7,entity_unknown,1,1,4.0,4.0
간장 먹으면,cluster_1,entity_unknown,1,1,4.0,4.0
간장 먹으면 심심하고,cluster_1,entity_unknown,1,1,4.0,4.0
교촌치킨,cluster_17,entity_unknown,1,1,4.0,4.0
기사,cluster_4,entity_unknown,1,1,4.0,4.0
깐풍치킨,cluster_1,entity_unknown,1,1,4.0,4.0
레드,cluster_40,entity_unknown,1,1,4.0,4.0
레드 먹으면 자극적이면,cluster_1,entity_unknown,1,1,4.0,4.0
마라치킨,cluster_1,entity_unknown,1,1,4.0,4.0
